RptDt;TckrSymb;ISIN;Asst;QtyCtrctsDay;QtyShrDay;ValCtrctsDay;DnrMinRate;DnrAvrgRate;DnrMaxRate;TakrMinRate;TakrAvrgRate;TakrMaxRate
2020-08-06;JSLG3;BRJSLGACNOR2;JSLG;6;13800;393162;0,1000%;0,1500%;0,2500%;0,1500%;0,8600%;1,6400%
2020-08-06;KEPL3;BRKEPLACNOR1;KEPL;12;2662;106746,2;0,6900%;1,3200%;1,3500%;2,0000%;2,8100%;3,0000%
2020-08-06;KLBN11;BRKLBNCDAM18;KLBN;145;2135855;47415981;0,0300%;0,1200%;0,2500%;0,0400%;0,2100%;9,5200%
2020-08-06;KLBN4;BRKLBNACNPR9;KLBN;27;253011;1105658,07;0,0400%;0,1200%;0,2900%;0,1000%;0,4100%;1,2500%
2020-08-06;LAME3;BRLAMEACNOR9;LAME;16;119453;3639732,91;1,5000%;2,7000%;3,0000%;2,8500%;3,1000%;4,5000%
2020-08-06;LAME4;BRLAMEACNPR6;LAME;92;1758256;60308180,8;0,1500%;0,3000%;0,3300%;0,1500%;0,3600%;2,5000%
2020-08-06;LCAM3;BRLCAMACNOR3;LCAM;153;2947200;56822016;0,0500%;0,0700%;0,1000%;0,0800%;0,1000%;1,0000%
2020-08-06;LEVE3;BRLEVEACNOR2;LEVE;36;167429;3010373,42;0,0400%;0,0900%;0,1500%;0,1000%;0,1900%;0,9000%
2020-08-06;LIGT3;BRLIGTACNOR2;LIGT;22;153899;2671686,64;0,0400%;0,0800%;0,1100%;0,1000%;0,1300%;0,8000%
2020-08-06;LINX3;BRLINXACNOR0;LINX;33;675677;17391925,98;1,5000%;6,7700%;11,0000%;2,0000%;7,3400%;12,5000%
2020-08-06;LLIS3;BRLLISACNOR4;LLIS;6;3232;17194,24;0,4500%;0,6800%;1,0000%;1,1000%;1,3500%;1,6200%
2020-08-06;LOGG3;BRLOGGACNOR7;LOGG;6;43106;1662167,36;0,1000%;0,2100%;0,2400%;0,1500%;0,2500%;0,3000%
2020-08-06;LOGN3;BRLOGNACNOR3;LOGN;7;464369;7211650,57;0,1000%;0,2000%;0,2000%;0,3000%;0,3000%;0,4200%
2020-08-06;LPSB3;BRLPSBACNOR0;LPSB;2;1435;6586,65;0,3200%;0,3200%;0,3200%;0,9000%;0,9400%;2,5000%
2020-08-06;LREN3;BRLRENACNOR1;LREN;37;229814;9344237,24;0,0600%;0,1200%;0,1800%;0,1000%;0,6000%;1,2000%
2020-08-06;LUPA3;BRLUPAACNOR8;LUPA;2;18621;42455,88;2,4000%;3,1000%;4,0000%;4,0000%;4,4400%;5,0000%
2020-08-06;LWSA3;BRLWSAACNOR8;LWSA;18;63210;3278070,6;0,8800%;1,5200%;1,6000%;1,5500%;1,9600%;3,5000%
2020-08-06;MATB11;BRMATBCTF001;MATB;1;16;608;1,8200%;1,8200%;1,8200%;2,6000%;2,6000%;2,6000%
2020-08-06;MDIA3;BRMDIAACNOR7;MDIA;19;141403;5473710,13;0,1100%;0,4200%;0,5000%;0,2200%;0,5500%;1,5000%
2020-08-06;MDNE3;BRMDNEACNOR9;MDNE;3;4535;48161,7;0,3400%;0,8600%;1,2000%;1,2400%;1,5900%;2,0000%
2020-08-06;MEAL3;BRMEALACNOR9;MEAL;20;994598;3968446,02;4,9800%;10,6900%;11,3900%;10,2500%;11,4600%;44,9800%
2020-08-06;MGLU3;BRMGLUACNOR2;MGLU;69;301297;25209519,99;0,0400%;0,1000%;0,2000%;0,0500%;0,3000%;2,0000%
2020-08-06;MILS3;BRMILSACNOR2;MILS;23;466203;3445240,17;0,1000%;0,3300%;0,3500%;0,2000%;0,4900%;2,0900%
2020-08-06;MOVI3;BRMOVIACNOR0;MOVI;17;61934;1015098,26;0,1100%;0,1700%;0,4200%;0,3000%;0,6000%;1,5000%
