RptDt;TckrSymb;ISIN;Asst;XprtnCd;SgmtNm;OpnIntrst;VartnOpnIntrst;DstrbtnId;CvrdQty;TtlBlckdPos;UcvrdQty;TtlPos;BrrwrQty;LndrQty;CurQty;FwdPric
2020-07-14;BGIV20P020500;BRBMEFVBVPI6;BGI;VNQ8;AGRIBUSINESS;1070;0;;;;;;;;;
2020-07-14;BGIV20P020600;BRBMEFVBVPK2;BGI;VNQB;AGRIBUSINESS;6;0;;;;;;;;;
2020-07-14;BGIV20P020700;BRBMEFVBVPM8;BGI;VNQD;AGRIBUSINESS;3;0;;;;;;;;;
2020-07-14;BGIV20P020900;BRBMEFVBVSC3;BGI;VNNQ;AGRIBUSINESS;16;0;;;;;;;;;
2020-07-14;BGIV20P021000;BRBMEFVBVPR7;BGI;VNQK;AGRIBUSINESS;475;0;;;;;;;;;
2020-07-14;BGIV20P021300;BRBMEFVBVSB5;BGI;VNNP;AGRIBUSINESS;10;0;;;;;;;;;
2020-07-14;BGIV20P021350;BRBMEFVBVSQ3;BGI;VNNY;AGRIBUSINESS;1000;0;;;;;;;;;
2020-07-14;BGIV20P021500;BRBMEFVBVQ15;BGI;VNQW;AGRIBUSINESS;1150;0;;;;;;;;;
2020-07-14;BGIV20P021600;BRBMEFVBVQ31;BGI;VNM4;AGRIBUSINESS;10;0;;;;;;;;;
2020-07-14;BGIV20P021700;BRBMEFVBVQ56;BGI;VNM6;AGRIBUSINESS;10;0;;;;;;;;;
2020-07-14;BGIV20P022000;BRBMEFVBVQB9;BGI;VNMD;AGRIBUSINESS;40;0;;;;;;;;;
2020-07-14;BGIX20;BRBMEFBGI5N4;BGI;X20;AGRIBUSINESS;826;45;;;;;;;;;
2020-07-14;BGIX20C021300;BRBMEFCBXKV6;BGI;XNKS;AGRIBUSINESS;300;0;;;;;;;;;
2020-07-14;BGIX20C021500;BRBMEFCBXKZ7;BGI;XNKX;AGRIBUSINESS;1000;0;;;;;;;;;
2020-07-14;BGIX20C021600;BRBMEFCBXL11;BGI;XNKZ;AGRIBUSINESS;5;0;;;;;;;;;
2020-07-14;BGIX20C021700;BRBMEFCBXL37;BGI;XNL1;AGRIBUSINESS;5;0;;;;;;;;;
2020-07-14;BGIX20C022500;BRBMEFCBXLJ9;BGI;XNLK;AGRIBUSINESS;5;0;;;;;;;;;
2020-07-14;BGIX20C022800;BRBMEFCBXLP6;BGI;XNLR;AGRIBUSINESS;300;0;;;;;;;;;
2020-07-14;BGIX20C023000;BRBMEFCBXLT8;BGI;XNLW;AGRIBUSINESS;1000;0;;;;;;;;;
2020-07-14;BGIX20C023500;BRBMEFCBXM36;BGI;XNI6;AGRIBUSINESS;50;0;;;;;;;;;
2020-07-14;BGIX20P019000;BRBMEFVBXJK1;BGI;XNN9;AGRIBUSINESS;106;0;;;;;;;;;
2020-07-14;BGIX20P019200;BRBMEFVBXJO3;BGI;XNNF;AGRIBUSINESS;1;0;;;;;;;;;
2020-07-14;BGIX20P020000;BRBMEFVBXK43;BGI;XNNY;AGRIBUSINESS;100;0;;;;;;;;;
2020-07-14;BGIX20P020100;BRBMEFVBXK68;BGI;XNP0;AGRIBUSINESS;10;0;;;;;;;;;
2020-07-14;BGIX20P020200;BRBMEFVBXK84;BGI;XNP2;AGRIBUSINESS;10;0;;;;;;;;;
2020-07-14;BGIX20P020300;BRBMEFVBXKA0;BGI;XNP4;AGRIBUSINESS;50;0;;;;;;;;;
